Candidate 0,Candidate 1,Accuracy,TPR (recall),TNR,PPV (precision),NPV,F1
Navalny,Putin,83.5,90.6,76.4,79.4,89.2,0.846
Navalny,Shoigu,84.1,82.1,86.1,85.6,82.8,0.838
Zyuganov,Navalny,81.7,83.8,79.4,81.3,82.1,0.826
Zhirinovsky,Navalny,81.0,81.1,80.8,80.8,81.1,0.81
Khodorkovsky,Shoigu,75.8,80.9,69.5,76.6,74.8,0.787
Navalny,Don't know,78.8,77.8,79.8,79.4,78.3,0.7859999999999999
Shoigu,Against all,77.1,83.1,71.1,74.2,80.9,0.784
Zyuganov,Against all,74.7,82.3,66.5,72.5,77.8,0.7709999999999999
Khodorkovsky,Don't know,72.0,81.8,59.9,71.6,72.8,0.763
Zhirinovsky,Against all,74.3,80.1,68.6,71.9,77.6,0.757
Don't know,Against all,71.0,78.4,63.6,68.3,74.7,0.73
Zyuganov,Putin,68.5,80.8,55.2,66.4,73.4,0.726
Zhirinovsky,Khodorkovsky,76.4,69.5,81.9,75.8,77.0,0.7240000000000001
Khodorkovsky,Against all,63.4,84.3,37.6,62.6,67.9,0.7170000000000001
Zhirinovsky,Putin,69.5,76.1,62.9,67.3,72.5,0.7140000000000001
Putin,Against all,72.5,68.6,76.3,74.4,71.0,0.713
Zyuganov,Khodorkovsky,74.7,66.7,81.7,76.0,73.8,0.71
Zyuganov,Don't know,63.4,77.6,48.2,61.9,67.2,0.687
Putin,Khodorkovsky,75.3,60.4,87.5,80.0,73.2,0.687
Putin,Shoigu,69.8,63.4,76.3,72.8,67.6,0.6779999999999999
Navalny,Against all,65.1,71.8,58.3,63.3,67.4,0.6729999999999999
Zyuganov,Shoigu,62.7,68.7,56.3,63.1,62.8,0.655
Putin,Don't know,65.5,58.5,72.5,68.3,63.9,0.627
Zhirinovsky,Don't know,59.5,65.6,53.3,58.4,60.8,0.618
Zhirinovsky,Shoigu,58.4,61.5,55.2,57.9,59.0,0.596
Shoigu,Don't know,58.7,55.7,61.6,59.2,58.2,0.574
Zhirinovsky,Zyuganov,62.7,51.3,73.5,64.7,61.9,0.568
Navalny,Khodorkovsky,66.0,39.8,87.3,72.1,64.4,0.503
