Candidate 0,Candidate 1,Accuracy,TPR (recall),TNR,PPV (precision),NPV,F1
Жириновский,Зюганов,61.8,42.4,79.9,66.3,59.8,0.517
Жириновский,Зюганов,62.3,59.0,65.4,61.4,63.1,0.601
Жириновский,Зюганов,64.3,52.5,75.3,66.5,63.0,0.5870000000000001
Жириновский,Навальный,81.4,82.0,80.8,81.0,81.8,0.815
Жириновский,Навальный,79.4,79.2,79.5,79.5,79.3,0.7929999999999999
Жириновский,Навальный,82.2,82.2,82.2,82.2,82.2,0.8220000000000001
Жириновский,Путин,70.8,77.5,64.0,68.3,74.0,0.726
Жириновский,Путин,66.3,73.5,59.1,64.3,69.1,0.6859999999999999
Жириновский,Путин,71.6,77.4,65.7,69.3,74.4,0.731
Жириновский,Ходорковский,75.0,64.4,83.5,75.9,74.4,0.6970000000000001
Жириновский,Ходорковский,76.7,75.5,77.7,73.3,79.6,0.7440000000000001
Жириновский,Ходорковский,77.6,68.8,84.6,78.4,77.0,0.733
Жириновский,Шойгу,58.2,58.3,58.0,58.2,58.2,0.5820000000000001
Жириновский,Шойгу,56.3,60.0,52.5,55.8,56.8,0.578
Жириновский,Шойгу,60.8,66.3,55.2,59.7,62.1,0.628
Жириновский,Не определились,58.0,65.2,50.8,57.0,59.4,0.608
Жириновский,Не определились,58.4,63.9,52.8,57.5,59.4,0.605
Жириновский,Не определились,62.1,67.8,56.4,60.9,63.7,0.642
Жириновский,Против всех,76.1,80.5,71.8,74.1,78.6,0.7709999999999999
Жириновский,Против всех,73.5,82.8,64.2,69.8,78.9,0.758
Жириновский,Против всех,73.5,77.1,69.9,71.9,75.4,0.7440000000000001
Зюганов,Навальный,81.3,82.6,80.0,81.6,81.1,0.821
Зюганов,Навальный,82.1,84.0,80.0,81.8,82.3,0.8290000000000001
Зюганов,Навальный,81.8,84.9,78.3,80.8,82.9,0.828
Зюганов,Путин,70.3,72.4,68.1,70.9,69.7,0.7170000000000001
Зюганов,Путин,65.4,86.1,43.2,61.9,74.4,0.721
Зюганов,Путин,69.8,84.0,54.5,66.5,76.1,0.742
Зюганов,Ходорковский,74.3,68.1,79.7,74.4,74.2,0.711
Зюганов,Ходорковский,76.0,67.7,83.2,77.8,74.7,0.7240000000000001
Зюганов,Ходорковский,73.9,64.4,82.2,75.9,72.6,0.6970000000000001
Зюганов,Шойгу,61.5,75.7,46.3,60.2,64.0,0.6709999999999999
Зюганов,Шойгу,63.4,60.9,66.1,65.9,61.1,0.633
Зюганов,Шойгу,63.4,69.6,56.7,63.3,63.5,0.6629999999999999
Зюганов,Не определились,63.8,76.9,49.8,62.2,66.8,0.688
Зюганов,Не определились,64.3,71.4,56.7,63.9,64.9,0.675
Зюганов,Не определились,62.3,84.6,38.3,59.6,70.0,0.6990000000000001
Зюганов,Против всех,76.4,83.8,68.4,74.0,79.7,0.7859999999999999
Зюганов,Против всех,74.6,80.4,68.3,73.2,76.5,0.7659999999999999
Зюганов,Против всех,73.2,82.8,62.9,70.5,77.3,0.762
Навальный,Путин,82.9,88.3,77.5,79.7,86.9,0.838
Навальный,Путин,83.0,92.7,73.2,77.6,91.0,0.845
Навальный,Путин,84.8,90.9,78.6,81.0,89.7,0.857
Навальный,Ходорковский,62.4,25.1,92.5,73.1,60.4,0.374
Навальный,Ходорковский,68.9,51.8,82.8,71.0,67.9,0.599
Навальный,Ходорковский,66.9,42.5,86.7,72.3,65.0,0.536
Навальный,Шойгу,83.9,83.2,84.7,84.4,83.4,0.838
Навальный,Шойгу,85.1,83.7,86.4,86.1,84.2,0.8490000000000001
Навальный,Шойгу,83.4,79.5,87.3,86.3,81.0,0.828
Навальный,Не определились,78.1,75.4,80.8,79.7,76.7,0.775
Навальный,Не определились,79.1,79.5,78.6,78.8,79.3,0.792
Навальный,Не определились,79.4,78.6,80.1,79.8,78.9,0.792
Навальный,Против всех,67.6,72.4,62.8,66.1,69.5,0.691
Навальный,Против всех,63.3,73.2,53.4,61.1,66.6,0.6659999999999999
Навальный,Против всех,64.4,69.9,58.8,62.9,66.2,0.662
Путин,Ходорковский,74.1,62.5,83.5,75.4,73.4,0.684
Путин,Ходорковский,74.9,54.8,91.2,83.6,71.3,0.662
Путин,Ходорковский,77.2,64.0,87.9,81.2,75.1,0.716
Путин,Шойгу,69.7,63.4,76.0,72.6,67.5,0.677
Путин,Шойгу,68.7,63.3,74.1,71.0,66.9,0.669
Путин,Шойгу,71.3,63.6,78.9,75.1,68.4,0.6890000000000001
Путин,Не определились,66.1,66.7,65.5,65.9,66.3,0.6629999999999999
Путин,Не определились,63.9,48.9,78.9,69.9,60.7,0.575
Путин,Не определились,66.6,60.0,73.2,69.2,64.7,0.643
Путин,Против всех,71.7,62.8,80.5,76.3,68.4,0.689
Путин,Против всех,71.7,68.4,75.0,73.3,70.4,0.708
Путин,Против всех,74.1,74.7,73.5,73.8,74.4,0.743
Ходорковский,Шойгу,74.5,79.9,67.7,75.4,73.2,0.776
Ходорковский,Шойгу,76.9,83.4,68.8,76.7,77.1,0.8
Ходорковский,Шойгу,76.2,79.5,72.2,77.9,74.1,0.787
Ходорковский,Не определились,71.6,82.3,58.5,71.0,72.8,0.762
Ходорковский,Не определились,71.3,80.4,60.0,71.2,71.3,0.755
Ходорковский,Не определились,73.3,82.8,61.4,72.6,74.4,0.774
Ходорковский,Против всех,63.9,81.4,42.2,63.5,64.7,0.713
Ходорковский,Против всех,63.3,93.6,25.9,60.9,76.9,0.738
Ходорковский,Против всех,63.1,78.0,44.8,63.5,62.3,0.7
Шойгу,Не определились,58.3,54.7,61.9,59.0,57.8,0.568
Шойгу,Не определились,56.9,55.2,58.5,57.1,56.6,0.561
Шойгу,Не определились,60.9,57.3,64.5,61.8,60.2,0.595
Шойгу,Против всех,78.8,87.4,70.3,74.6,84.8,0.805
Шойгу,Против всех,77.6,82.2,72.9,75.2,80.4,0.786
Шойгу,Против всех,75.0,79.8,70.2,72.8,77.7,0.762
Не определились,Против всех,72.7,79.3,66.1,70.1,76.2,0.744
Не определились,Против всех,71.9,79.8,63.9,68.9,76.0,0.739
Не определились,Против всех,68.6,76.2,60.9,66.1,71.9,0.708
